UserID,Role,KnownSkills,RequiredSkills,RoleDescription
U100001,Data Scientist,Scikit-learn,"Python, Pandas, TensorFlow, Scikit-learn, SQL, Matplotlib","Data Scientist is responsible for key tasks in software engineering involving Python, Pandas, TensorFlow and more."
U100002,Full Stack Developer,Node.js,"JavaScript, Node.js, React, MongoDB, Express.js, HTML","Full Stack Developer is responsible for key tasks in software engineering involving JavaScript, Node.js, React and more."
U100003,Game Developer,Unreal Engine,"Unity, C#, Unreal Engine, Blender, Game Physics, 3D Modeling","Game Developer is responsible for key tasks in software engineering involving Unity, C#, Unreal Engine and more."
U100004,Cloud Engineer,"AWS, Linux","AWS, Azure, CloudFormation, Docker, Linux, IAM","Cloud Engineer is responsible for key tasks in software engineering involving AWS, Azure, CloudFormation and more."
U100005,Machine Learning Engineer,"Model Deployment, Python, Scikit-learn","Python, PyTorch, TensorFlow, Scikit-learn, MLflow, Model Deployment","Machine Learning Engineer is responsible for key tasks in software engineering involving Python, PyTorch, TensorFlow and more."
U100006,Scrum Master,"Jira, Retrospectives, Agile, Scrum","Agile, Scrum, Jira, Team Facilitation, Sprint Planning, Retrospectives","Scrum Master is responsible for key tasks in software engineering involving Agile, Scrum, Jira and more."
U100007,Scrum Master,"Team Facilitation, Retrospectives","Agile, Scrum, Jira, Team Facilitation, Sprint Planning, Retrospectives","Scrum Master is responsible for key tasks in software engineering involving Agile, Scrum, Jira and more."
U100008,Mobile App Developer,Flutter,"Kotlin, Java, Swift, Flutter, React Native, Xcode","Mobile App Developer is responsible for key tasks in software engineering involving Kotlin, Java, Swift and more."
U100009,Cybersecurity Analyst,Firewalls,"Network Security, Firewalls, SIEM, Threat Analysis, Encryption, Python","Cybersecurity Analyst is responsible for key tasks in software engineering involving Network Security, Firewalls, SIEM and more."
U100010,Site Reliability Engineer,"Prometheus, Monitoring, Grafana, Kubernetes","Monitoring, Incident Management, SLAs, Prometheus, Grafana, Kubernetes","Site Reliability Engineer is responsible for key tasks in software engineering involving Monitoring, Incident Management, SLAs and more."
U100011,Full Stack Developer,"Express.js, HTML, JavaScript","JavaScript, Node.js, React, MongoDB, Express.js, HTML","Full Stack Developer is responsible for key tasks in software engineering involving JavaScript, Node.js, React and more."
U100012,Scrum Master,"Jira, Agile","Agile, Scrum, Jira, Team Facilitation, Sprint Planning, Retrospectives","Scrum Master is responsible for key tasks in software engineering involving Agile, Scrum, Jira and more."
U100013,DevOps Engineer,Docker,"Docker, Kubernetes, CI/CD, Terraform, AWS, Linux","DevOps Engineer is responsible for key tasks in software engineering involving Docker, Kubernetes, CI/CD and more."
U100014,Scrum Master,Agile,"Agile, Scrum, Jira, Team Facilitation, Sprint Planning, Retrospectives","Scrum Master is responsible for key tasks in software engineering involving Agile, Scrum, Jira and more."
U100015,Cybersecurity Analyst,"Network Security, Threat Analysis, Python","Network Security, Firewalls, SIEM, Threat Analysis, Encryption, Python","Cybersecurity Analyst is responsible for key tasks in software engineering involving Network Security, Firewalls, SIEM and more."
U100016,Business Analyst,"Power BI, Stakeholder Management, Excel, Tableau, Business Strategy","Excel, SQL, Power BI, Tableau, Business Strategy, Stakeholder Management","Business Analyst is responsible for key tasks in software engineering involving Excel, SQL, Power BI and more."
U100017,UI/UX Designer,User Research,"Figma, Sketch, Adobe XD, User Research, Prototyping, Wireframing","UI/UX Designer is responsible for key tasks in software engineering involving Figma, Sketch, Adobe XD and more."
U100018,Full Stack Developer,"MongoDB, Express.js, React, Node.js, JavaScript","JavaScript, Node.js, React, MongoDB, Express.js, HTML","Full Stack Developer is responsible for key tasks in software engineering involving JavaScript, Node.js, React and more."
U100019,Game Developer,"Unity, Blender","Unity, C#, Unreal Engine, Blender, Game Physics, 3D Modeling","Game Developer is responsible for key tasks in software engineering involving Unity, C#, Unreal Engine and more."
U100020,Blockchain Developer,"Truffle, Solidity, Crypto Wallets, Web3.js","Solidity, Ethereum, Smart Contracts, Web3.js, Crypto Wallets, Truffle","Blockchain Developer is responsible for key tasks in software engineering involving Solidity, Ethereum, Smart Contracts and more."
U100021,AI Engineer,"NLP, Computer Vision, Deep Learning","Deep Learning, Neural Networks, Python, TensorFlow, NLP, Computer Vision","AI Engineer is responsible for key tasks in software engineering involving Deep Learning, Neural Networks, Python and more."
U100022,Scrum Master,"Retrospectives, Agile, Jira, Sprint Planning","Agile, Scrum, Jira, Team Facilitation, Sprint Planning, Retrospectives","Scrum Master is responsible for key tasks in software engineering involving Agile, Scrum, Jira and more."
U100023,Cybersecurity Analyst,"Threat Analysis, SIEM, Python, Network Security","Network Security, Firewalls, SIEM, Threat Analysis, Encryption, Python","Cybersecurity Analyst is responsible for key tasks in software engineering involving Network Security, Firewalls, SIEM and more."
U100024,Site Reliability Engineer,"Prometheus, Incident Management, Kubernetes, Grafana","Monitoring, Incident Management, SLAs, Prometheus, Grafana, Kubernetes","Site Reliability Engineer is responsible for key tasks in software engineering involving Monitoring, Incident Management, SLAs and more."
U100025,Blockchain Developer,"Crypto Wallets, Truffle, Smart Contracts, Web3.js","Solidity, Ethereum, Smart Contracts, Web3.js, Crypto Wallets, Truffle","Blockchain Developer is responsible for key tasks in software engineering involving Solidity, Ethereum, Smart Contracts and more."
U100026,QA Engineer,"JUnit, Manual Testing, TestNG, Selenium","Selenium, Postman, TestNG, JUnit, Automation, Manual Testing","QA Engineer is responsible for key tasks in software engineering involving Selenium, Postman, TestNG and more."
U100027,DevOps Engineer,"Docker, Terraform, Kubernetes","Docker, Kubernetes, CI/CD, Terraform, AWS, Linux","DevOps Engineer is responsible for key tasks in software engineering involving Docker, Kubernetes, CI/CD and more."
U100028,UI/UX Designer,"User Research, Adobe XD, Wireframing, Sketch","Figma, Sketch, Adobe XD, User Research, Prototyping, Wireframing","UI/UX Designer is responsible for key tasks in software engineering involving Figma, Sketch, Adobe XD and more."
U100029,Full Stack Developer,"MongoDB, JavaScript, Node.js, HTML, React","JavaScript, Node.js, React, MongoDB, Express.js, HTML","Full Stack Developer is responsible for key tasks in software engineering involving JavaScript, Node.js, React and more."
U100030,Game Developer,"3D Modeling, Unreal Engine, Blender, Game Physics","Unity, C#, Unreal Engine, Blender, Game Physics, 3D Modeling","Game Developer is responsible for key tasks in software engineering involving Unity, C#, Unreal Engine and more."
U100031,DevOps Engineer,"AWS, CI/CD, Linux, Kubernetes, Terraform","Docker, Kubernetes, CI/CD, Terraform, AWS, Linux","DevOps Engineer is responsible for key tasks in software engineering involving Docker, Kubernetes, CI/CD and more."
U100032,AI Engineer,NLP,"Deep Learning, Neural Networks, Python, TensorFlow, NLP, Computer Vision","AI Engineer is responsible for key tasks in software engineering involving Deep Learning, Neural Networks, Python and more."
U100033,Frontend Developer,TypeScript,"HTML, CSS, JavaScript, React, Redux, TypeScript","Frontend Developer is responsible for key tasks in software engineering involving HTML, CSS, JavaScript and more."
U100034,QA Engineer,"Automation, JUnit","Selenium, Postman, TestNG, JUnit, Automation, Manual Testing","QA Engineer is responsible for key tasks in software engineering involving Selenium, Postman, TestNG and more."
U100035,Business Analyst,"Stakeholder Management, SQL, Power BI, Excel","Excel, SQL, Power BI, Tableau, Business Strategy, Stakeholder Management","Business Analyst is responsible for key tasks in software engineering involving Excel, SQL, Power BI and more."
U100036,Product Manager,MVP,"Roadmapping, User Stories, Wireframing, Stakeholder Communication, Analytics, MVP","Product Manager is responsible for key tasks in software engineering involving Roadmapping, User Stories, Wireframing and more."
U100037,Blockchain Developer,"Truffle, Solidity, Ethereum","Solidity, Ethereum, Smart Contracts, Web3.js, Crypto Wallets, Truffle","Blockchain Developer is responsible for key tasks in software engineering involving Solidity, Ethereum, Smart Contracts and more."
